Inhibitor	ID	DMOG_0h	DMOG_4h	DMOG_8h	DMOG_12h	DMOG_16h	DMOG_20h	DMOG_24h	DMOG_28h	DMOG_32h	DMOG_36h	DMOG_40h	DMOG_44h	DMOG_48h	DMOG_Log0h	DMOG_Log4h	DMOG_Log8h	DMOG_Log12h	DMOG_Log16h	DMOG_Log20h	DMOG_Log24h	DMOG_Log28h	DMOG_Log32h	DMOG_Log36h	DMOG_Log40h	DMOG_Log44h	DMOG_Log48h	DMOG_AUC4h	DMOG_AUC8h	DMOG_AUC12h	DMOG_AUC16h	DMOG_AUC20h	DMOG_AUC24h	DMOG_AUC28h	DMOG_AUC32h	DMOG_AUC36h	DMOG_AUC40h	DMOG_AUC44h	DMOG_AUC48h	DMOG_TotalAUC	siDMOG_0h	siDMOG_4h	siDMOG_8h	siDMOG_12h	siDMOG_16h	siDMOG_20h	siDMOG_24h	siDMOG_28h	siDMOG_32h	siDMOG_36h	siDMOG_40h	siDMOG_44h	siDMOG_48h	siDMOG_Log0h	siDMOG_Log4h	siDMOG_Log8h	siDMOG_Log12h	siDMOG_Log16h	siDMOG_Log20h	siDMOG_Log24h	siDMOG_Log28h	siDMOG_Log32h	siDMOG_Log36h	siDMOG_Log40h	siDMOG_Log44h	siDMOG_Log48h	siDMOG_AUC4h	siDMOG_AUC8h	siDMOG_AUC12h	siDMOG_AUC16h	siDMOG_AUC20h	siDMOG_AUC24h	siDMOG_AUC28h	siDMOG_AUC32h	siDMOG_AUC36h	siDMOG_AUC40h	siDMOG_AUC44h	siDMOG_AUC48h	siDMOG_TotalAUC
BMS387032 HCl	SB03	1.086816627	1.075949555	1.031702598	0.960593839	0.813654682	0.866794359	0.946100013	0.849671554	0.87481474	0.884311992	0.875443973	0.940723991	0.880868086	0.036156274	0.03179191	0.013554524	-0.017460203	-0.089559872	-0.062083924	-0.024062952	-0.070748921	-0.058083908	-0.053394486	-0.057771643	-0.02653778	-0.055089124	0.135896369	0.090692869	-0.007811358	-0.214040151	-0.303287592	-0.17229375	-0.189623745	-0.257665658	-0.222956787	-0.222332257	-0.168618846	-0.163253809	-1.695294716	0.951876665	1.033610666	1.029748672	1.017175633	0.975063235	0.959590232	0.96842218	0.969786549	0.980216443	0.969218788	1.009244786	1.044190024	1.079504644	-0.02141932	0.014356982	0.012731241	0.007395948	-0.010967218	-0.017914182	-0.013935272	-0.013323844	-0.008678017	-0.013578176	0.003996514	0.01877954	0.033224515	-0.014124675	0.054176446	0.040254377	-0.007142541	-0.0577628	-0.063698908	-0.054518232	-0.044003721	-0.044512385	-0.019163323	0.045552108	0.104008109	-0.060935544
PD-0173074	SB04	1.236152227	1.241409387	1.185552772	0.869469787	0.950555204	0.861914812	0.838648296	0.904399468	0.907510799	0.872633055	0.911384435	0.854080026	0.77020759	0.092071956	0.093915025	0.07392089	-0.060745505	-0.022022656	-0.064535656	-0.076420131	-0.043639702	-0.042148198	-0.05916834	-0.040298393	-0.068501435	-0.113392206	0.371973961	0.335671831	0.026350771	-0.165536322	-0.173116624	-0.281911574	-0.240119666	-0.1715758	-0.202633077	-0.198933466	-0.217599655	-0.363787281	-1.281216901	0.930405415	1.02919347	1.042191902	1.015559346	1.017347181	0.995435438	1.012864212	1.02035561	1.03481791	1.038356364	1.030925566	1.024908226	1.043721062	-0.031327771	0.012497022	0.017947694	0.006705307	0.007469186	-0.001986902	0.005551226	0.008751557	0.014863937	0.016346429	0.01322731	0.010684979	0.018584447	-0.037661497	0.060889433	0.049306003	0.028348987	0.010964568	0.007128648	0.028605566	0.047230986	0.062420731	0.059147478	0.047824577	0.058538853	0.422744332
CC-401 HCl	SB05	0.968218015	0.949025737	0.926935356	0.885398443	0.821832719	0.818866353	0.870703863	0.895949675	0.945791233	1.055805893	1.14353744	1.0822447	0.963823283	-0.014026841	-0.02272201	-0.032950552	-0.052861246	-0.085216572	-0.086786974	-0.060129529	-0.047716384	-0.024204716	0.023584082	0.058250388	0.034325468	-0.016002587	-0.073497701	-0.111345124	-0.171623597	-0.276155637	-0.344007092	-0.293833005	-0.215691825	-0.143842199	-0.001241269	0.16366894	0.185151712	0.036645762	-1.245771035	0.889386146	0.98349653	1.017919363	1.045045962	1.106374043	1.074120265	1.106655167	1.104825961	1.105942068	1.128210843	1.156316297	1.209949258	1.178858797	-0.05090964	-0.007227168	0.007713376	0.019135392	0.043901978	0.03105291	0.044012316	0.043293871	0.043732378	0.052390269	0.063076647	0.082767158	0.071461789	-0.116273616	0.000972415	0.053697534	0.126074739	0.149909777	0.150130453	0.174612374	0.174052498	0.192245295	0.230933832	0.291687608	0.308457892	1.736500801
AS703026	SB06	0.910915282	0.896517908	0.828719587	0.854821376	0.837225642	0.710400978	0.731031098	0.699536563	0.66793573	0.711591533	0.756380022	0.805464186	0.806027939	-0.040522012	-0.047441031	-0.081592396	-0.068124626	-0.077157479	-0.148496449	-0.136064148	-0.155189581	-0.175265324	-0.147769228	-0.121259951	-0.093953765	-0.093649904	-0.175926086	-0.258066855	-0.299434045	-0.29056421	-0.451307856	-0.569121194	-0.582507458	-0.66090981	-0.646069104	-0.538058357	-0.430427431	-0.375207339	-5.277599747	0.837395802	0.890825293	0.911758265	0.934585843	0.895730505	0.892660518	0.919651928	0.927267467	0.962097735	0.951993698	0.939902996	0.969050073	0.954335653	-0.077069221	-0.050207461	-0.040120291	-0.029380802	-0.047822635	-0.049313673	-0.036376514	-0.032794977	-0.016780808	-0.021365927	-0.026916966	-0.013653781	-0.020298851	-0.254553363	-0.180655504	-0.139002186	-0.154406874	-0.194272617	-0.171380376	-0.138342983	-0.09915157	-0.076293469	-0.096565785	-0.081141495	-0.067905265	-1.653671486
Rapamycin	SB07	0.919449668	0.899277208	0.952037105	0.961022292	0.933597406	0.968948803	0.844616921	0.822354718	0.872257846	0.934762885	0.896630212	1.189441527	0.969044555	-0.03647204	-0.046106414	-0.021346125	-0.017266538	-0.029840364	-0.013699169	-0.073340222	-0.084940812	-0.059355115	-0.02929854	-0.047386632	0.075343097	-0.013656254	-0.165156906	-0.134905077	-0.077225326	-0.094213804	-0.087079066	-0.174078783	-0.316562068	-0.288591854	-0.17730731	-0.153370343	0.055912931	0.123373685	-1.489203922	0.919564132	1.024700868	1.010738109	1.011054304	0.99919529	1.030478789	1.043917353	1.044107106	1.082427343	1.071403479	1.103096224	1.094691874	1.130028027	-0.036417977	0.010597104	0.004638641	0.004774482	-0.000349622	0.013039057	0.018666117	0.018745052	0.034398754	0.029953052	0.042613398	0.039291894	0.053089215	-0.051641746	0.03047149	0.018826246	0.008849721	0.02537887	0.063410348	0.074822337	0.106287612	0.128703613	0.1451329	0.163810584	0.184762219	0.898814194
IC87114	SB08	0.914303296	0.895906135	0.872781559	0.854729788	0.834265591	0.842979928	0.86437876	0.834124691	0.821545426	0.852061764	0.84938973	1.088049553	0.8429264	-0.038909715	-0.047737489	-0.059094439	-0.06817116	-0.078695668	-0.074182766	-0.063295913	-0.078769023	-0.085368418	-0.069528923	-0.070892994	0.036648675	-0.074210344	-0.173294408	-0.213663856	-0.254531198	-0.293733657	-0.305756869	-0.274957359	-0.284129873	-0.328274882	-0.309794682	-0.280843835	-0.068488639	-0.075123338	-2.862592596	0.817385575	0.873421796	0.884761396	0.875579043	0.853690298	0.866652509	0.866798227	0.88021905	0.877044359	0.877127624	0.875263387	0.871009935	0.870207758	-0.087573031	-0.058775975	-0.053173835	-0.057704642	-0.068699654	-0.062155001	-0.062081986	-0.055409237	-0.05697844	-0.056937211	-0.057861238	-0.059976891	-0.060377049	-0.292698011	-0.223899619	-0.221756953	-0.252808592	-0.261709311	-0.248473974	-0.234982444	-0.224775354	-0.227831303	-0.229596899	-0.235676259	-0.240707881	-2.8949166
PF431396	SB09	0.981769285	0.970550955	1.063209461	0.891874368	0.942521104	0.900057801	0.898387542	0.901054762	0.968472609	0.795215469	0.816284064	0.745648115	0.78593709	-0.007990559	-0.012981659	0.026618833	-0.049696317	-0.025708917	-0.0457296	-0.046536279	-0.045248814	-0.013912658	-0.09951518	-0.088158682	-0.127466076	-0.104612215	-0.041944436	0.027274348	-0.04615497	-0.150810468	-0.142877033	-0.184531757	-0.183570186	-0.118322943	-0.226855676	-0.375347725	-0.431249515	-0.464156582	-2.338546943	0.954875855	1.007050864	1.029203524	1.035762826	1.026697116	1.056157033	1.077068012	1.10167129	1.146894101	1.221551566	1.255287734	1.256321961	1.241208285	-0.020053088	0.003051406	0.012501265	0.01526032	0.011442342	0.023728495	0.032243128	0.042052032	0.059523319	0.086911805	0.098743285	0.099100951	0.093844666	-0.034003363	0.031105342	0.055523169	0.053405324	0.070341675	0.111943247	0.148590319	0.203150701	0.292870248	0.37131018	0.395688473	0.385891235	2.085816549
GW441756	SB10	1.146187504	1.136452673	1.20165577	1.132035681	1.105828043	1.076956185	1.098941773	1.188498275	1.300045428	1.384230223	1.607942132	1.700824146	1.782194356	0.059255669	0.055551354	0.079780076	0.053860116	0.043687599	0.032198035	0.040974682	0.074998556	0.113958528	0.141208327	0.206270415	0.230659413	0.250955064	0.229614048	0.270662861	0.267280384	0.19509543	0.151771268	0.146345434	0.231946476	0.377914168	0.510333711	0.694957484	0.873859655	0.963228953	4.913009872	0.897425424	0.953848051	0.952211811	0.941689488	0.918587277	0.906714118	0.911486673	0.913249566	0.910406108	0.909437585	0.910110767	0.908873668	0.908677415	-0.047001631	-0.020520803	-0.021266436	-0.026092278	-0.036879574	-0.042529622	-0.040249677	-0.039410526	-0.040764837	-0.041227101	-0.040905748	-0.041496479	-0.041590266	-0.135044869	-0.083574479	-0.094717427	-0.125943703	-0.158818392	-0.165558598	-0.159320405	-0.160350725	-0.163983877	-0.164265698	-0.164804453	-0.16617349	-1.742556116
Bosutinib	SB11	1.168635121	1.159426214	1.194112143	1.194297089	1.060733015	1.052326738	1.034763237	1.07042962	1.073442562	0.933284238	0.924033689	0.932186916	0.843094406	0.067678934	0.064243115	0.077045115	0.077112374	0.025606086	0.022150605	0.014840991	0.029558118	0.030778811	-0.029986069	-0.034312195	-0.030496997	-0.074123792	0.263844099	0.28257646	0.308314977	0.20543692	0.095513383	0.073983192	0.088798217	0.120673858	0.001585485	-0.128596527	-0.129618383	-0.209241579	0.973270102	0.934821459	0.99907204	0.992105282	0.973528759	0.940010349	0.927256196	0.932595398	0.938644168	0.938640044	0.946551618	0.963286707	0.959649766	0.95794832	-0.029271327	-0.000403195	-0.003442238	-0.011651214	-0.026867365	-0.032800256	-0.030306732	-0.027499014	-0.027500922	-0.023855698	-0.016244433	-0.017887238	-0.01865792	-0.059349044	-0.007690866	-0.030186905	-0.077037159	-0.119335242	-0.126213976	-0.115611492	-0.109999872	-0.10271324	-0.080200261	-0.068263342	-0.073090316	-0.969691715
Motesanib 	SB12	0.987520928	0.981017328	1.010900138	0.912597356	0.870167728	0.931333595	1.015146154	1.059485675	1.027203852	0.974583562	0.970468508	0.992331849	0.937990919	-0.005453692	-0.008323321	0.004708256	-0.039720794	-0.060397027	-0.030894731	0.006528574	0.025095089	0.011656639	-0.011180918	-0.013018553	-0.00334307	-0.027801366	-0.027554027	-0.007230131	-0.070025076	-0.200235643	-0.182583517	-0.048732315	0.063247325	0.073503457	0.000951443	-0.048398942	-0.032723245	-0.062288872	-0.542069542	0.880628181	0.945643743	0.948296497	0.933433718	0.906156536	0.895790378	0.901630252	0.902440798	0.901070749	0.90938941	0.918909099	0.940899329	0.958315657	-0.055207421	-0.024272447	-0.023055854	-0.029916515	-0.042796773	-0.047793607	-0.044971525	-0.044581279	-0.045241108	-0.041250108	-0.036727448	-0.026456841	-0.018491416	-0.158959735	-0.094656601	-0.105944738	-0.145426576	-0.181180759	-0.185530264	-0.179105608	-0.179644775	-0.172982432	-0.155955111	-0.126368579	-0.089896515	-1.775651692
MK-2206 2HCl	SC01	1.213881653	1.192255575	1.131815944	1.028780618	1.013633568	1.047143161	1.024079757	1.072716637	1.155680285	1.113882862	1.052374324	1.062757023	0.929853372	0.084176347	0.076369362	0.053775808	0.012322774	0.005880984	0.020006061	0.010333782	0.030485016	0.062837705	0.046839522	0.022170244	0.026433984	-0.03158553	0.321091419	0.260290339	0.132197162	0.036407516	0.05177409	0.060679684	0.081637596	0.186645442	0.219354453	0.138019531	0.097208454	-0.010303092	1.575002594	0.899710021	0.993637982	0.989540647	1.017115603	1.060550092	1.057402925	1.055051995	1.090301015	1.074520735	1.076992078	1.0768123	1.077905508	1.090567854	-0.045897442	-0.002771816	-0.004566362	0.007370317	0.025531186	0.024240507	0.023273863	0.037546416	0.0312148	0.032212509	0.032140008	0.032580691	0.037652692	-0.097338516	-0.014676355	0.00560791	0.065803005	0.099543387	0.095028741	0.121640559	0.137522434	0.126854619	0.128705033	0.129441398	0.140466766	0.938598979
