Inhibitor	ID	TGFB_0h	TGFB_4h	TGFB_8h	TGFB_12h	TGFB_16h	TGFB_20h	TGFB_24h	TGFB_28h	TGFB_32h	TGFB_36h	TGFB_40h	TGFB_44h	TGFB_48h	TGFB_Log0h	TGFB_Log4h	TGFB_Log8h	TGFB_Log12h	TGFB_Log16h	TGFB_Log20h	TGFB_Log24h	TGFB_Log28h	TGFB_Log32h	TGFB_Log36h	TGFB_Log40h	TGFB_Log44h	TGFB_Log48h	TGFB_AUC4h	TGFB_AUC8h	TGFB_AUC12h	TGFB_AUC16h	TGFB_AUC20h	TGFB_AUC24h	TGFB_AUC28h	TGFB_AUC32h	TGFB_AUC36h	TGFB_AUC40h	TGFB_AUC44h	TGFB_AUC48h	TGFB_TotalAUC	siTGFB_0h	siTGFB_4h	siTGFB_8h	siTGFB_12h	siTGFB_16h	siTGFB_20h	siTGFB_24h	siTGFB_28h	siTGFB_32h	siTGFB_36h	siTGFB_40h	siTGFB_44h	siTGFB_48h	siTGFB_Log0h	siTGFB_Log4h	siTGFB_Log8h	siTGFB_Log12h	siTGFB_Log16h	siTGFB_Log20h	siTGFB_Log24h	siTGFB_Log28h	siTGFB_Log32h	siTGFB_Log36h	siTGFB_Log40h	siTGFB_Log44h	siTGFB_Log48h	siTGFB_AUC4h	siTGFB_AUC8h	siTGFB_AUC12h	siTGFB_AUC16h	siTGFB_AUC20h	siTGFB_AUC24h	siTGFB_AUC28h	siTGFB_AUC32h	siTGFB_AUC36h	siTGFB_AUC40h	siTGFB_AUC44h	siTGFB_AUC48h	siTGFB_TotalAUC
MK-2461	SA12	0.955041897	0.963920639	0.939775716	0.899518879	0.882118277	0.899499292	0.890304061	0.951496518	1.02342587	0.97500031	0.951548789	0.964538771	0.836021034	-0.019977576	-0.015958721	-0.026975781	-0.045989717	-0.054473179	-0.045999174	-0.050461646	-0.021592797	0.010056391	-0.010995246	-0.021568939	-0.015680311	-0.077782796	-0.071872593	-0.085869004	-0.145930997	-0.200925794	-0.200944707	-0.19292164	-0.144108885	-0.023072812	-0.001877711	-0.065128371	-0.074498499	-0.186926213	-1.394077225	0.965713031	0.935454321	0.878111817	0.856826295	0.845715079	0.842880906	0.832890151	0.814540022	0.808085667	0.802975962	0.780434642	0.755847223	0.712787441	-0.015151908	-0.028977415	-0.056450178	-0.067107214	-0.072775926	-0.074233784	-0.079412273	-0.089087572	-0.092542596	-0.095297456	-0.107663461	-0.121565978	-0.147039961	-0.088258646	-0.170855186	-0.247114785	-0.27976628	-0.29401942	-0.307292115	-0.336999691	-0.363260336	-0.375680104	-0.405921834	-0.458458879	-0.537211878	-3.864839155
A-674563 HCl	SB01	0.922998345	0.93215754	0.886583723	0.922533165	0.879674906	0.898147015	0.922572073	0.86922949	1.005965	1.017337934	1.121318555	1.195563499	1.182907725	-0.034799078	-0.030510683	-0.052280246	-0.035018012	-0.055677797	-0.046652569	-0.034999696	-0.060865548	0.002582871	0.007465239	0.049729009	0.077572647	0.072950868	-0.130619522	-0.165581859	-0.174596517	-0.181391618	-0.204660732	-0.16330453	-0.191730488	-0.116565354	0.020096219	0.114388495	0.254603312	0.301047031	-0.638315563	0.978436933	0.946440426	0.911325832	0.900447972	0.899789132	0.92841812	0.936565073	0.937832599	0.91122083	0.890653454	0.861700154	0.827778946	0.771027965	-0.009467162	-0.023906718	-0.040326319	-0.045541376	-0.045859257	-0.032256392	-0.028462042	-0.027874675	-0.040376361	-0.050291244	-0.064643829	-0.082085624	-0.11292987	-0.06674776	-0.128466074	-0.17173539	-0.182801265	-0.156231297	-0.121436868	-0.112673435	-0.136502073	-0.181335209	-0.229870146	-0.293458906	-0.390030987	-2.171289411
ABT-737	SB02	0.901275235	0.911698517	0.906108121	0.829733422	0.819572004	0.827164583	0.857801619	0.86487259	0.882748663	0.896098778	1.100197934	1.085430249	0.91838813	-0.045142562	-0.040148752	-0.042819977	-0.081061416	-0.086412885	-0.082408069	-0.066613138	-0.063047867	-0.054162932	-0.047644115	0.041470825	0.03560192	-0.036973738	-0.170582628	-0.165937458	-0.247762786	-0.334948602	-0.337641909	-0.298042415	-0.25932201	-0.234421596	-0.203614093	-0.01234658	0.154145491	-0.002743635	-2.113218221	0.980267517	0.947851365	0.90334773	0.908165476	0.906286453	0.908665964	0.903629756	0.892473377	0.891276083	0.891748195	0.879851157	0.859502746	0.814052584	-0.008655388	-0.02325976	-0.044145042	-0.041835012	-0.042734512	-0.041595739	-0.044009476	-0.04940473	-0.049987747	-0.049757761	-0.055590791	-0.065752731	-0.089347541	-0.063830297	-0.134809605	-0.171960109	-0.169139047	-0.168660502	-0.171210431	-0.186828413	-0.198784955	-0.199491017	-0.210697103	-0.242687044	-0.310200545	-2.228299068
BMS387032 HCl	SB03	1.152944348	1.148727905	1.116634634	1.025916547	1.008217018	1.003585662	0.967495323	0.895023299	0.886998274	0.901304671	0.896481529	0.972222316	0.808448102	0.061808345	0.060217171	0.047911094	0.011112035	0.003554024	0.001554448	-0.014351126	-0.048165659	-0.052077225	-0.045128378	-0.047458654	-0.012234415	-0.092347854	0.244051032	0.21625653	0.118046257	0.029332117	0.010216944	-0.025593355	-0.12503357	-0.200485769	-0.194411207	-0.185174065	-0.119386137	-0.209164537	-0.441345761	1.18479819	1.211159377	1.171322223	1.159760781	1.163096332	1.169094859	1.161401595	1.166786284	1.201683484	1.202852143	1.185895649	1.15945178	1.111420738	0.073644382	0.083201296	0.068676383	0.064368418	0.065615686	0.067849751	0.064982418	0.066991315	0.079790092	0.080212246	0.074046476	0.064252692	0.045878496	0.313691356	0.303755358	0.266089603	0.259968209	0.266930874	0.265664338	0.263947467	0.293562815	0.320004677	0.308517444	0.276598335	0.220262375	3.358992849
PD-0173074	SB04	0.886621862	0.812543899	0.905654675	0.87642646	0.850099557	0.83452702	0.852007174	0.844228573	0.824828394	0.839440593	0.840812752	0.899382619	0.729100668	-0.052261564	-0.090153166	-0.043037367	-0.057284519	-0.07053021	-0.078559597	-0.069556748	-0.073539953	-0.083636397	-0.076010033	-0.07530071	-0.04605551	-0.137212504	-0.284829461	-0.266381066	-0.200643772	-0.255629459	-0.298179615	-0.296232691	-0.286193403	-0.314352701	-0.319292861	-0.302621487	-0.24271244	-0.366536027	-3.433604983	0.902655212	0.902623004	0.864642009	0.851867809	0.880360996	0.910310792	0.967949409	0.955496641	0.954147887	0.95273309	0.934134642	0.91492659	0.864937549	-0.044478106	-0.044493602	-0.063163668	-0.069627793	-0.055339207	-0.040810309	-0.014147341	-0.019770835	-0.020384307	-0.021028751	-0.029590522	-0.038613751	-0.063015249	-0.177943416	-0.215314541	-0.265582922	-0.249934	-0.192299031	-0.109915299	-0.067836353	-0.080310285	-0.082826116	-0.101238545	-0.136408545	-0.203257999	-1.882867051
CC-401 HCl	SB05	0.936647595	0.911639749	0.894592952	0.885992161	0.863945726	0.890458441	0.827895534	0.869748704	0.859034593	0.857247844	0.848204696	0.8907446	0.77832146	-0.028423778	-0.040176747	-0.048374528	-0.052570121	-0.06351354	-0.050386345	-0.08202446	-0.06060621	-0.065989347	-0.066893598	-0.071499327	-0.050246802	-0.108840995	-0.13720105	-0.17710255	-0.201889297	-0.23216732	-0.227799769	-0.26482161	-0.28526134	-0.253191113	-0.265765891	-0.276785852	-0.243492259	-0.318175594	-2.883653643	0.925853259	0.910526399	0.898339039	1.014208956	1.027113855	1.057391709	1.080782123	1.09596117	1.096665858	1.119377018	1.107318607	1.123107073	1.069070476	-0.03345784	-0.040707458	-0.046559727	0.006127441	0.011618588	0.024235901	0.033738152	0.039795167	0.040074323	0.048976386	0.044272598	0.050421162	0.029006336	-0.148330597	-0.17453437	-0.080864571	0.035492058	0.071708977	0.115948107	0.14706664	0.159738981	0.178101418	0.186497968	0.18938752	0.158854997	0.839067126
AS703026	SB06	0.942968249	0.873186208	0.879131115	0.840984074	0.846296815	0.899063161	0.88572953	0.857105145	0.849119078	0.867148393	0.913440315	0.98766295	0.947049983	-0.02550293	-0.058893133	-0.055946349	-0.075212229	-0.072477294	-0.046209797	-0.052698876	-0.066965898	-0.071031401	-0.061906576	-0.039319825	-0.005391238	-0.023627099	-0.168792126	-0.229678963	-0.262317154	-0.295379044	-0.237374181	-0.197817346	-0.239329547	-0.275994598	-0.265875955	-0.202452802	-0.089422124	-0.058036674	-2.522470516	0.927600879	0.884227455	0.850953908	0.843252844	0.843572564	0.850765298	0.855993587	0.848499031	0.847321942	0.845474653	0.84442509	0.830820936	0.812914787	-0.032638848	-0.053436005	-0.070093963	-0.074042185	-0.073877554	-0.070190233	-0.067529489	-0.071348649	-0.071951547	-0.072899408	-0.073438871	-0.080492568	-0.089954977	-0.172149706	-0.247059935	-0.288272297	-0.295839478	-0.288135573	-0.275439444	-0.277756277	-0.286600393	-0.28970191	-0.292676558	-0.307862879	-0.340895089	-3.362389537
Rapamycin	SB07	0.945135263	0.950005686	0.965013265	0.911830979	0.94557771	0.938352058	0.946776157	0.93511712	0.919496117	0.926332664	0.98682936	0.996763483	0.912731231	-0.024506033	-0.022273795	-0.015466717	-0.040085657	-0.024302774	-0.027634189	-0.023752688	-0.029133992	-0.0364501	-0.033233022	-0.005757938	-0.001407881	-0.039657089	-0.093559657	-0.075481024	-0.111104748	-0.128776862	-0.103873926	-0.102773754	-0.105773359	-0.131168185	-0.139366244	-0.077981919	-0.014331638	-0.08212994	-1.166321255	0.953601149	0.918341595	0.875680845	0.863501508	0.869194036	0.872441426	0.873327831	0.868894981	0.868283435	0.875456832	0.855958024	0.848000749	0.817957913	-0.020633234	-0.036995744	-0.05765415	-0.0637369	-0.060883262	-0.059263721	-0.0588227	-0.061032711	-0.061338484	-0.057765264	-0.067547533	-0.071603764	-0.087269042	-0.115257958	-0.189299789	-0.2427821	-0.249240324	-0.240293967	-0.236172841	-0.239710822	-0.244742391	-0.238207496	-0.250625592	-0.278302593	-0.317745612	-2.842381486
IC87114	SB08	1.124292611	1.117113077	1.046419937	0.996341093	0.9641841	1.00071122	0.953452648	0.867380845	0.850147042	0.852691577	0.838463226	0.870072615	0.804837411	0.050879356	0.048097136	0.019706005	-0.001591957	-0.015840035	0.000308769	-0.020700871	-0.061790173	-0.070505952	-0.069208027	-0.07651598	-0.0604445	-0.094291845	0.197952984	0.135606282	0.036228096	-0.034863984	-0.031062531	-0.040784203	-0.164982087	-0.26459225	-0.279427958	-0.291448015	-0.273920961	-0.30947269	-1.320767315	0.976687492	0.949207667	0.909718485	0.910296072	0.917000768	0.96955899	1.003916011	0.993862746	1.003347475	1.003851472	0.990459249	0.974349235	0.933751447	-0.010244374	-0.022638763	-0.041092981	-0.040817331	-0.037630301	-0.013425762	0.001697381	-0.002673588	0.001451362	0.00166946	-0.004163388	-0.011285351	-0.029768712	-0.065766273	-0.127463486	-0.163820624	-0.156895264	-0.102112126	-0.023456763	-0.001952415	-0.002444452	0.006241644	-0.004987856	-0.030897479	-0.082108127	-0.755663222
PF431396	SB09	0.95187492	0.935741363	0.913507226	0.874966373	0.87740411	0.88649909	0.895858129	0.923310075	0.942274325	0.973065955	1.015581711	1.056839693	0.919274243	-0.021420116	-0.028844173	-0.039288013	-0.058008638	-0.056800336	-0.052321706	-0.047760761	-0.034652425	-0.025822642	-0.011857722	0.006714871	0.024009116	-0.036554908	-0.100528577	-0.136264371	-0.194593301	-0.229617946	-0.218244083	-0.200164934	-0.164826373	-0.120950136	-0.075360729	-0.010285701	0.061447975	-0.025091584	-1.414479761	0.863544964	0.849703432	0.868499172	0.870463871	0.874446708	0.922013807	0.918295016	0.902052466	0.908649854	0.937071789	0.883848288	0.862641129	0.788850006	-0.063715044	-0.070732628	-0.061230591	-0.06024925	-0.058266653	-0.035262575	-0.037017773	-0.044768202	-0.041603439	-0.028227137	-0.053622275	-0.064169839	-0.103005567	-0.268895344	-0.263926438	-0.242959682	-0.237031805	-0.187058457	-0.144560696	-0.163571949	-0.172743281	-0.139661151	-0.163698823	-0.235584229	-0.334350812	-2.554042668
GW441756	SB10	1.136788666	1.148724668	1.130929762	1.073757339	1.006158317	1.009779144	1.061594986	1.0603604	1.022311614	1.004996156	0.958937051	0.977485997	0.870643864	0.055679735	0.060215947	0.053435633	0.030906145	0.002666321	0.004226397	0.025958859	0.0254535	0.009583295	0.002164401	-0.018209901	-0.009889455	-0.060159456	0.231791365	0.227303161	0.168683557	0.067144933	0.013785436	0.06037051	0.102824718	0.07007359	0.023495391	-0.032091001	-0.056198713	-0.140097824	0.737085124	1.012641728	0.9397824	0.882948857	0.85984344	0.850592007	0.846594841	0.831992184	0.814061241	0.800646533	0.792472563	0.769828028	0.742872433	0.698052664	0.005455819	-0.026972693	-0.054064451	-0.065580618	-0.070278703	-0.072324382	-0.079880754	-0.089342922	-0.096559173	-0.101015765	-0.113606281	-0.129085757	-0.156111811	-0.043033746	-0.162074288	-0.239290138	-0.271718641	-0.28520617	-0.304410272	-0.338447352	-0.37180419	-0.395149875	-0.429244092	-0.485384077	-0.570395137	-3.896157979
Bosutinib	SB11	0.98655185	1.007994084	0.958713734	0.857957104	0.857526184	0.865980248	0.882584164	0.897142994	0.89399854	0.906896099	0.882012943	0.929384473	0.766337907	-0.005880085	0.003457983	-0.018311051	-0.066534425	-0.06675261	-0.062492014	-0.054243869	-0.04713833	-0.04866319	-0.042442466	-0.054525042	-0.031804587	-0.115579691	-0.004844203	-0.029706136	-0.169690953	-0.266574071	-0.258489248	-0.233471766	-0.202764399	-0.191603041	-0.182211313	-0.193935016	-0.172659259	-0.294768558	-2.200717962	0.967225655	0.968129551	0.976041984	0.981474843	0.979221042	0.998329387	1.001978156	0.993085998	0.998660246	1.012128094	0.993441262	0.991146108	0.950695628	-0.014472193	-0.014066523	-0.010531501	-0.008120828	-0.009119263	-0.000726145	0.000858254	-0.003013141	-0.000582238	0.00523548	-0.002857806	-0.00386232	-0.021958503	-0.057077432	-0.049196049	-0.037304657	-0.034480181	-0.019690815	0.000264218	-0.004309776	-0.007190759	0.009306484	0.004755348	-0.013440252	-0.051641647	-0.260005516
Motesanib 	SB12	1.017339182	1.047076924	0.982938446	0.931646471	0.908662847	0.897692969	0.898557705	0.906826134	0.915247362	0.933335663	0.927142131	0.994515239	0.914518273	0.007465771	0.019978588	-0.007473678	-0.030748857	-0.041597229	-0.046872176	-0.046454027	-0.042475972	-0.038461514	-0.029962139	-0.032853683	-0.002388558	-0.038807612	0.05488872	0.025009821	-0.076445069	-0.144692171	-0.17693881	-0.186652408	-0.17786	-0.161874973	-0.136847307	-0.125631645	-0.070484482	-0.08239234	-1.259920665	0.965890941	0.92472635	0.882347166	0.872258135	0.86719691	0.877331118	0.867915063	0.850180648	0.845133406	0.842481632	0.840635205	0.801149153	0.754133515	-0.015071907	-0.033986767	-0.054360505	-0.059354971	-0.061882278	-0.056836466	-0.061522774	-0.070488785	-0.073074731	-0.074439559	-0.075392426	-0.096286622	-0.122551758	-0.098117348	-0.176694544	-0.227430953	-0.2424745	-0.237437489	-0.236718481	-0.264023118	-0.287127032	-0.295028581	-0.29966397	-0.343358096	-0.43767676	-3.145750873
